SampleID;input;filtered;denoisedF;denoisedR;merged;nonchim
4016160274;388086;335311;328251;330629;300521;217532
4016160651;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4016159975;5970;4457;3684;4023;3025;2670
4016160097;350499;313469;310976;311885;299577;263484
4016159869;429769;387086;385712;385900;379725;376697
4016160502;348770;315618;314285;315131;309334;305180
4016160291;291863;263707;262726;263113;258797;257099
4016159814;314159;275662;274246;274663;266254;234394
4016160438;352201;316273;313913;314489;302771;252871
4016160412;355534;320469;318162;319063;309362;259466
4016160164;360236;322892;320783;321378;311213;255697
4016160064;357074;320910;318777;320143;309075;298735
4016160668;380362;340491;338646;339586;329747;316451
4016160322;373175;337140;335194;335888;328202;319478
4016159858;355719;322226;320408;321106;312015;260636
4016159842;358499;326782;324973;326014;317412;289816
4016160439;339290;302808;298694;300362;281313;205345
CROSS.CONT.CTR.193;357144;315970;313625;314958;304471;263589
4016160250;382926;346715;344085;345739;336173;311865
4016159749;358893;325868;324456;325209;318453;293796
4016160541;321195;289751;288090;288673;281547;227910
4016160047;336010;304562;303145;303796;295507;281454
4016160453;369542;333468;331380;332410;321678;271951
4016159802;343117;311019;307748;308764;291528;211846
4016160635;336566;302920;300083;301609;286909;217277
